plot_type,crop_code,crop_name,season,yield,cost,price_mid,price_lo,price_hi
山坡地,1,黄豆,1,360.0,400.0,3.25,2.5,4.0
山坡地,2,黑豆,1,450.0,400.0,7.5,6.5,8.5
山坡地,3,红豆,1,360.0,350.0,8.25,7.5,9.0
山坡地,4,绿豆,1,315.0,350.0,7.0,6.0,8.0
山坡地,5,爬豆,1,375.0,350.0,6.75,6.0,7.5
山坡地,6,小麦,1,720.0,450.0,3.5,3.0,4.0
山坡地,7,玉米,1,900.0,500.0,3.0,2.5,3.5
山坡地,8,谷子,1,360.0,360.0,6.75,6.0,7.5
山坡地,9,高粱,1,570.0,400.0,6.0,5.5,6.5
山坡地,10,黍子,1,475.0,360.0,7.5,6.5,8.5
山坡地,11,荞麦,1,100.0,350.0,40.0,30.0,50.0
山坡地,12,南瓜,1,2700.0,1000.0,1.5,1.0,2.0
山坡地,13,红薯,1,2000.0,2000.0,3.25,2.5,4.0
山坡地,14,莜麦,1,380.0,400.0,5.5,5.0,6.0
山坡地,15,大麦,1,475.0,350.0,3.5,3.0,4.0
平旱地,1,黄豆,1,400.0,400.0,3.25,2.5,4.0
平旱地,2,黑豆,1,500.0,400.0,7.5,6.5,8.5
平旱地,3,红豆,1,400.0,350.0,8.25,7.5,9.0
平旱地,4,绿豆,1,350.0,350.0,7.0,6.0,8.0
平旱地,5,爬豆,1,415.0,350.0,6.75,6.0,7.5
平旱地,6,小麦,1,800.0,450.0,3.5,3.0,4.0
平旱地,7,玉米,1,1000.0,500.0,3.0,2.5,3.5
平旱地,8,谷子,1,400.0,360.0,6.75,6.0,7.5
平旱地,9,高粱,1,630.0,400.0,6.0,5.5,6.5
平旱地,10,黍子,1,525.0,360.0,7.5,6.5,8.5
平旱地,11,荞麦,1,110.0,350.0,40.0,30.0,50.0
平旱地,12,南瓜,1,3000.0,1000.0,1.5,1.0,2.0
平旱地,13,红薯,1,2200.0,2000.0,3.25,2.5,4.0
平旱地,14,莜麦,1,420.0,400.0,5.5,5.0,6.0
平旱地,15,大麦,1,525.0,350.0,3.5,3.0,4.0
普通大棚,17,豇豆,1,3600.0,2400.0,8.0,7.0,9.0
普通大棚,18,刀豆,1,2400.0,1200.0,6.75,5.5,8.0
普通大棚,19,芸豆,1,3600.0,2400.0,6.5,5.0,8.0
普通大棚,20,土豆,1,2400.0,2400.0,3.75,3.0,4.5
普通大棚,21,西红柿,1,3000.0,2400.0,6.25,5.0,7.5
普通大棚,22,茄子,1,8000.0,2400.0,5.5,5.0,6.0
普通大棚,23,菠菜,1,3300.0,2700.0,5.75,4.8,6.7
普通大棚,24,青椒,1,3000.0,2000.0,5.25,4.0,6.5
普通大棚,25,菜花,1,4000.0,3000.0,5.5,5.0,6.0
普通大棚,26,包菜,1,4500.0,3500.0,6.5,5.5,7.5
普通大棚,27,油麦菜,1,5000.0,2000.0,5.0,4.0,6.0
普通大棚,28,小青菜,1,4000.0,2000.0,5.75,5.0,6.5
普通大棚,29,黄瓜,1,15000.0,3500.0,7.0,6.0,8.0
普通大棚,30,生菜,1,5000.0,2000.0,5.25,4.5,6.0
普通大棚,31,辣椒,1,2000.0,1200.0,7.25,6.0,8.5
普通大棚,32,空心菜,1,12000.0,5000.0,4.5,3.0,6.0
普通大棚,33,黄心菜,1,6000.0,2500.0,4.5,4.0,5.0
普通大棚,34,芹菜,1,6600.0,1100.0,4.0,3.2,4.8
普通大棚,38,榆黄菇,2,5000.0,3000.0,57.5,50.0,65.0
普通大棚,39,香菇,2,4000.0,2000.0,19.0,18.0,20.0
普通大棚,40,白灵菇,2,10000.0,10000.0,16.0,14.0,18.0
普通大棚,41,羊肚菌,2,1000.0,10000.0,100.0,80.0,120.0
智慧大棚,17,豇豆,1,3600.0,2400.0,8.0,7.0,9.0
智慧大棚,17,豇豆,2,3200.0,2640.0,9.600000000000001,8.4,10.8
智慧大棚,18,刀豆,1,2400.0,1200.0,6.75,5.5,8.0
智慧大棚,18,刀豆,2,2200.0,1320.0,8.1,6.6,9.6
智慧大棚,19,芸豆,1,3600.0,2400.0,6.5,5.0,8.0
智慧大棚,19,芸豆,2,3200.0,2640.0,7.8,6.0,9.6
智慧大棚,20,土豆,1,2400.0,2400.0,3.75,3.0,4.5
智慧大棚,20,土豆,2,2200.0,2640.0,4.5,3.6,5.4
智慧大棚,21,西红柿,1,3000.0,2400.0,6.25,5.0,7.5
智慧大棚,21,西红柿,2,2700.0,2640.0,7.5,6.0,9.0
智慧大棚,22,茄子,1,8000.0,2400.0,5.5,5.0,6.0
智慧大棚,22,茄子,2,7200.0,2640.0,6.6,6.0,7.2
智慧大棚,23,菠菜,1,3300.0,2700.0,5.75,4.8,6.7
智慧大棚,23,菠菜,2,3000.0,3000.0,6.9,5.8,8.0
智慧大棚,24,青椒,1,3000.0,2000.0,5.25,4.0,6.5
智慧大棚,24,青椒,2,2700.0,2200.0,6.8,5.8,7.8
智慧大棚,25,菜花,1,4000.0,3000.0,5.5,5.0,6.0
智慧大棚,25,菜花,2,3600.0,3300.0,6.6,6.0,7.2
智慧大棚,26,包菜,1,4500.0,3500.0,6.5,5.5,7.5
智慧大棚,26,包菜,2,4100.0,3850.0,7.8,6.6,9.0
智慧大棚,27,油麦菜,1,5000.0,2000.0,5.0,4.0,6.0
智慧大棚,27,油麦菜,2,4500.0,2200.0,6.0,4.8,7.2
智慧大棚,28,小青菜,1,4000.0,2000.0,5.75,5.0,6.5
智慧大棚,28,小青菜,2,3600.0,2200.0,6.9,6.0,7.8
智慧大棚,29,黄瓜,1,15000.0,3500.0,7.0,6.0,8.0
智慧大棚,29,黄瓜,2,13500.0,3850.0,8.4,7.2,9.6
智慧大棚,30,生菜,1,5000.0,2000.0,5.25,4.5,6.0
智慧大棚,30,生菜,2,4500.0,2200.0,6.300000000000001,5.4,7.2
智慧大棚,31,辣椒,1,2000.0,1200.0,7.25,6.0,8.5
智慧大棚,31,辣椒,2,1800.0,1300.0,8.7,7.2,10.2
智慧大棚,32,空心菜,1,12000.0,5000.0,4.5,3.0,6.0
智慧大棚,32,空心菜,2,11000.0,5500.0,5.4,3.6,7.2
智慧大棚,33,黄心菜,1,6000.0,2500.0,4.5,4.0,5.0
智慧大棚,33,黄心菜,2,5400.0,2750.0,5.4,4.8,6.0
智慧大棚,34,芹菜,1,6600.0,1100.0,4.0,3.2,4.8
智慧大棚,34,芹菜,2,6000.0,1200.0,4.8,3.8,5.8
梯田,1,黄豆,1,380.0,400.0,3.25,2.5,4.0
梯田,2,黑豆,1,475.0,400.0,7.5,6.5,8.5
梯田,3,红豆,1,380.0,350.0,8.25,7.5,9.0
梯田,4,绿豆,1,330.0,350.0,7.0,6.0,8.0
梯田,5,爬豆,1,395.0,350.0,6.75,6.0,7.5
梯田,6,小麦,1,760.0,450.0,3.5,3.0,4.0
梯田,7,玉米,1,950.0,500.0,3.0,2.5,3.5
梯田,8,谷子,1,380.0,360.0,6.75,6.0,7.5
梯田,9,高粱,1,600.0,400.0,6.0,5.5,6.5
梯田,10,黍子,1,500.0,360.0,7.5,6.5,8.5
梯田,11,荞麦,1,105.0,350.0,40.0,30.0,50.0
梯田,12,南瓜,1,2850.0,1000.0,1.5,1.0,2.0
梯田,13,红薯,1,2100.0,2000.0,3.25,2.5,4.0
梯田,14,莜麦,1,400.0,400.0,5.5,5.0,6.0
梯田,15,大麦,1,500.0,350.0,3.5,3.0,4.0
水浇地,16,水稻,1,500.0,680.0,7.0,6.0,8.0
水浇地,17,豇豆,1,3000.0,2000.0,8.0,7.0,9.0
水浇地,18,刀豆,1,2000.0,1000.0,6.75,5.5,8.0
水浇地,19,芸豆,1,3000.0,2000.0,6.5,5.0,8.0
水浇地,20,土豆,1,2000.0,2000.0,3.75,3.0,4.5
