plot,crop_code,year,season,area
A1,1,2024,1,80.0
A2,5,2024,1,55.0
A3,4,2024,1,35.0
A4,15,2024,1,72.0
A5,14,2024,1,68.0
A6,1,2024,1,55.0
B1,2,2024,1,60.0
B2,11,2024,1,46.0
B3,10,2024,1,40.0
B4,7,2024,1,28.0
B5,6,2024,1,25.0
B6,4,2024,1,86.0
B7,3,2024,1,55.0
B8,2,2024,1,44.0
B9,1,2024,1,50.0
B10,2,2024,1,25.0
B11,11,2024,1,60.0
B12,2,2024,1,45.0
B13,1,2024,1,35.0
B14,2,2024,1,20.0
C1,1,2024,1,15.0
C2,3,2024,1,13.0
C3,3,2024,1,15.0
C4,1,2024,1,18.0
C5,2,2024,1,27.0
C6,13,2024,1,20.0
D1,25,2024,1,15.0
D1,35,2024,2,15.0
D2,18,2024,1,10.0
D2,35,2024,2,10.0
D3,24,2024,1,14.0
D3,35,2024,2,14.0
D4,17,2024,1,6.0
D4,35,2024,2,6.0
D5,21,2024,1,10.0
D5,35,2024,2,10.0
D6,27,2024,1,12.0
D6,35,2024,2,12.0
D7,17,2024,1,22.0
D7,35,2024,2,22.0
D8,18,2024,1,20.0
D8,35,2024,2,20.0
E1,17,2024,1,0.6
E1,38,2024,2,0.6
E2,21,2024,1,0.6
E2,41,2024,2,0.6
E3,25,2024,1,0.6
E3,38,2024,2,0.6
E4,29,2024,1,0.6
E4,41,2024,2,0.6
E5,18,2024,1,0.6
E5,40,2024,2,0.6
E6,22,2024,1,0.6
E6,39,2024,2,0.6
E7,26,2024,1,0.6
E7,41,2024,2,0.6
E8,28,2024,1,0.6
E8,39,2024,2,0.6
E9,19,2024,1,0.6
E9,39,2024,2,0.6
E10,23,2024,1,0.6
E10,39,2024,2,0.6
E11,27,2024,1,0.6
E11,41,2024,2,0.6
E12,17,2024,1,0.6
E12,41,2024,2,0.6
E13,20,2024,1,0.6
E13,41,2024,2,0.6
E14,24,2024,1,0.6
E14,38,2024,2,0.6
E15,26,2024,1,0.6
E15,39,2024,2,0.6
E16,17,2024,1,0.6
E16,40,2024,2,0.6
F1,19,2024,1,0.6
F1,21,2024,2,0.6
F2,17,2024,1,0.6
F2,22,2024,2,0.6
F3,23,2024,1,0.6
F3,30,2024,2,0.6
F4,19,2024,1,0.6
F4,23,2024,2,0.6
A1,6,2025,1,80.0
A2,7,2025,1,55.0
A3,7,2025,1,35.0
A4,1,2025,1,72.0
A5,4,2025,1,68.0
A6,8,2025,1,55.0
B1,6,2025,1,60.0
B2,2,2025,1,46.0
B3,3,2025,1,40.0
B4,4,2025,1,28.0
B5,5,2025,1,25.0
B6,8,2025,1,86.0
B7,6,2025,1,55.0
B8,8,2025,1,44.0
B9,9,2025,1,50.0
B10,10,2025,1,25.0
B11,1,2025,1,60.0
B12,7,2025,1,45.0
B13,14,2025,1,35.0
B14,15,2025,1,20.0
C1,11,2025,1,15.0
C2,12,2025,1,13.0
C3,1,2025,1,15.0
C4,13,2025,1,18.0
C5,6,2025,1,27.0
C6,3,2025,1,20.0
D1,18,2025,1,15.0
D1,35,2025,2,15.0
D2,18,2025,1,10.0
D2,36,2025,2,10.0
D3,17,2025,1,14.0
D3,36,2025,2,14.0
D4,18,2025,1,6.0
D4,36,2025,2,6.0
D5,23,2025,1,10.0
D5,37,2025,2,10.0
D6,18,2025,1,12.0
D6,36,2025,2,12.0
D7,22,2025,1,22.0
D7,35,2025,2,22.0
D8,28,2025,1,20.0
D8,35,2025,2,20.0
